scenario,scenario_label,initial_belief,gamma,c_theta1,c_theta2,strategy,strategy_label,horizon,discounted_cumulative_defender_utility,discounted_cumulative_attacker_utility,undiscounted_cumulative_defender_utility,undiscounted_cumulative_attacker_utility,mean_attack_probability,terminal_public_belief_mean,terminal_uncertainty_probability
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,1,-4.786111111111113,2.3000000000000003,-4.786111111111113,2.3000000000000003,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,2,-8.854305555555559,4.255000000000001,-9.572222222222226,4.600000000000001,0.8930555555555556,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,3,-12.312270833333336,5.91675,-14.358333333333336,6.900000000000002,0.8930555555555556,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,4,-15.25154131944445,7.329237500000001,-19.144444444444453,9.200000000000003,0.8930555555555556,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,5,-17.74992123263889,8.529851875000002,-23.930555555555557,11.500000000000004,0.8930555555555555,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,6,-19.87354415885417,9.550374093750001,-28.71666666666667,13.800000000000004,0.8930555555555556,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,7,-21.67862364613716,10.417817979687502,-33.50277777777779,16.100000000000005,0.8930555555555556,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,8,-23.212941210327692,11.155145282734377,-38.2888888888889,18.400000000000006,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,9,-24.517111139889654,11.781873490324221,-43.07500000000001,20.700000000000003,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,10,-25.625655580017312,12.314592466775588,-47.86111111111112,23.000000000000004,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,11,-26.56791835412583,12.76740359675925,-52.64722222222223,25.300000000000008,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,12,-27.36884171211807,13.152293057245362,-57.433333333333344,27.600000000000005,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,13,-28.049626566411472,13.479449098658558,-62.219444444444456,29.900000000000006,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,14,-28.628293692560856,13.757531733859773,-67.00555555555557,32.20000000000001,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,15,-29.120160749787836,13.993901973780808,-71.79166666666669,34.50000000000001,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,1,-7.800000000000001,6.5,-7.800000000000001,6.5,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,2,-14.430000000000001,12.024999999999999,-15.600000000000001,13.0,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,3,-20.0655,16.721249999999998,-23.400000000000002,19.5,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,4,-24.855674999999998,20.713062499999996,-31.200000000000003,26.0,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,5,-28.92732375,24.106103124999997,-39.0,32.5,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,6,-32.3882251875,26.990187656249997,-46.8,39.0,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,7,-35.329991409375,29.441659507812496,-54.599999999999994,45.5,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,8,-37.83049269796875,31.52541058164062,-62.39999999999999,52.0,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,9,-39.95591879327344,33.29659899439453,-70.19999999999999,58.5,0.65,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,10,-41.76253097428243,34.80210914523535,-77.99999999999999,65.0,0.6500000000000001,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,11,-43.298151328140065,36.08179277345005,-85.79999999999998,71.5,0.6500000000000001,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,12,-44.603428628919055,37.16952385743254,-93.59999999999998,78.0,0.6500000000000001,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,13,-45.7129143345812,38.094095278817655,-101.39999999999998,84.5,0.6500000000000001,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,14,-46.65597718439402,38.87998098699501,-109.19999999999997,91.0,0.6500000000000001,0.65,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,15,-47.457580606734915,39.547983838945754,-116.99999999999997,97.5,0.6500000000000001,0.65,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,1,1.2494999999999996,0.0,1.2494999999999996,0.0,0.08662500000000001,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,2,2.3115749999999995,0.0,2.498999999999999,0.0,0.08662500000000001,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,3,3.214338749999999,0.0,3.748499999999999,0.0,0.08662500000000001,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,4,3.981687937499999,0.0,4.997999999999998,0.0,0.08662500000000001,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,5,4.633934746874998,0.0,6.247499999999998,0.0,0.08662500000000001,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,6,5.188344534843748,0.0,7.496999999999997,0.0,0.08662500000000001,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,7,5.659592854617185,0.0,8.746499999999997,0.0,0.08662500000000002,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,8,6.060153926424607,0.0,9.995999999999997,0.0,0.08662500000000001,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,9,6.400630837460915,0.0,11.245499999999996,0.0,0.08662500000000001,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,10,6.690036211841777,0.0,12.494999999999996,0.0,0.086625,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,11,6.93603078006551,0.0,13.744499999999995,0.0,0.086625,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,12,7.145126163055682,0.0,14.993999999999994,0.0,0.086625,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,13,7.322857238597329,0.0,16.243499999999994,0.0,0.08662499999999998,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,14,7.4739286528077296,0.0,17.492999999999995,0.0,0.08662499999999998,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,15,7.60233935488657,0.0,18.742499999999996,0.0,0.08662499999999998,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,1,-4.199999999999999,3.5,-4.199999999999999,3.5,0.35,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,2,-7.769999999999999,6.475,-8.399999999999999,7.0,0.35,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,3,-10.804499999999997,9.00375,-12.599999999999998,10.5,0.3499999999999999,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,4,-13.383824999999996,11.1531875,-16.799999999999997,14.0,0.35,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,5,-15.576251249999995,12.980209375,-20.999999999999996,17.5,0.35,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,6,-17.439813562499996,14.53317796875,-25.199999999999996,21.0,0.35000000000000003,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,7,-19.023841528124997,15.853201273437499,-29.399999999999995,24.5,0.35000000000000003,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,8,-20.370265298906247,16.975221082421875,-33.599999999999994,28.0,0.35000000000000003,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,9,-21.51472550407031,17.928937920058594,-37.8,31.5,0.35000000000000003,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,10,-22.487516678459762,18.739597232049803,-42.0,35.0,0.35000000000000003,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,11,-23.314389176690796,19.428657647242332,-46.2,38.5,0.35000000000000003,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,12,-24.017230800187175,20.01435900015598,-50.400000000000006,42.0,0.35000000000000003,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,13,-24.6146461801591,20.512205150132583,-54.60000000000001,45.5,0.35,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,14,-25.122449253135233,20.935374377612696,-58.80000000000001,49.0,0.35,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,15,-25.554081865164946,21.29506822097079,-63.000000000000014,52.5,0.3499999999999999,0.35,0.0
